player,team,tier,slot,slot_group,pos,pos_class,lineup_src,adj_mean,mean_shr,mean_ud,l15_mean,p20,adj_p20,max_ud,starts,modal_slot,start_rate15,hr_per_start,zeros_rate,mult,stack_score,blocked,pid,elite_power,law_slot_rank,tier_rank,model_rank,law_rank
Steven Kwan,CLE,C,1,2,CF,OF,POSTED,4.69,7.1,7.02,8.47,0.024,0.016,26.0,123,1,1.0,0.016,0.203,0.66,2.73,False,680757,False,3,2,166,142
Angel Genao,CLE,C,7,3,3B,IF,POSTED,4.62,7.0,6.22,6.07,0.056,0.037,20.0,18,6,0.8,0.056,0.222,0.66,2.73,False,694197,False,4,2,168,143
Brayan Rocchio,CLE,C,9,3,SS,IF,POSTED,4.49,6.81,6.64,4.67,0.053,0.035,24.0,131,9,0.8,0.076,0.229,0.66,2.73,False,677587,False,4,2,173,144
Austin Hedges,CLE,C,8,3,C,IF,POSTED,4.26,6.45,5.85,3.73,0.05,0.033,30.0,60,8,0.47,0.083,0.267,0.66,2.73,False,595978,False,4,2,177,145
Wyatt Langford,TEX,C,3,1,LF,OF,POSTED,5.7,8.29,8.74,8.07,0.11,0.076,27.0,82,3,0.93,0.183,0.159,0.687,2.71,False,694671,True,1,2,123,146
Ezequiel Duran,TEX,C,5,1,2B,IF,POSTED,5.32,7.74,7.87,6.73,0.084,0.058,30.0,119,5,1.0,0.118,0.269,0.687,2.71,False,677649,False,1,2,143,147
Brandon Nimmo,TEX,C,4,1,RF,OF,POSTED,5.19,7.55,7.62,4.47,0.086,0.059,36.0,128,4,1.0,0.109,0.195,0.687,2.71,False,607043,False,1,2,146,148
Jake Burger,TEX,C,6,1,1B,IF,POSTED,5.04,7.33,7.33,8.13,0.073,0.05,35.0,123,6,0.87,0.171,0.276,0.687,2.71,False,669394,False,1,2,153,149
Joc Pederson,TEX,C,1,2,DH,DH?,POSTED,5.11,7.44,7.48,5.73,0.094,0.065,33.0,96,1,0.47,0.219,0.219,0.687,2.71,False,592626,True,2,2,150,150
Corey Seager,TEX,C,2,2,SS,IF,POSTED,5.31,7.73,7.93,9.0,0.095,0.065,26.0,74,2,0.93,0.176,0.203,0.687,2.71,False,608369,False,3,2,144,151
Cody Freeman,TEX,C,8,3,3B,IF,POSTED,4.82,7.02,6.07,6.07,0.0,0.0,17.0,14,8,0.73,0.071,0.071,0.687,2.71,False,683227,False,4,2,163,152
Evan Carter,TEX,C,7,3,CF,OF,POSTED,4.56,6.64,6.34,3.73,0.042,0.029,31.0,96,9,0.8,0.073,0.292,0.687,2.71,False,694497,False,4,2,170,153
Elias Díaz,TEX,C,9,3,C,IF,POSTED,4.39,6.39,5.57,5.07,0.021,0.014,25.0,47,8,0.47,0.128,0.319,0.687,2.71,False,553869,False,4,2,174,154
Freddie Freeman,LAD,C,4,1,1B,IF,POSTED,5.01,8.16,8.41,6.33,0.098,0.06,30.0,132,2,0.93,0.114,0.136,0.614,2.47,False,518692,False,1,2,155,155
Mookie Betts,LAD,C,3,1,SS,IF,POSTED,4.57,7.44,7.47,8.73,0.103,0.063,38.0,97,3,0.93,0.165,0.216,0.614,2.47,False,605141,False,1,2,169,156
Teoscar Hernández,LAD,C,5,1,LF,OF,POSTED,4.32,7.03,6.9,3.93,0.093,0.057,35.0,97,8,0.93,0.113,0.32,0.614,2.47,False,606192,False,1,2,175,157
Miguel Rojas,LAD,C,6,1,3B,IF,POSTED,3.97,6.47,5.66,4.67,0.023,0.014,22.0,44,6,0.27,0.045,0.182,0.614,2.47,False,500743,False,1,2,180,158
Shohei Ohtani,LAD,C,1,2,DH,DH?,POSTED,6.07,9.89,10.7,9.73,0.152,0.093,40.0,125,1,1.0,0.24,0.12,0.614,2.47,False,660271,True,2,2,109,159
Tommy Edman,LAD,C,2,2,2B,IF,POSTED,4.72,7.69,7.94,6.93,0.077,0.047,31.0,52,5,0.87,0.058,0.173,0.614,2.47,False,669242,False,3,2,165,160
Kyle Tucker,LAD,C,7,3,RF,OF,POSTED,4.68,7.63,7.72,5.8,0.081,0.05,26.0,123,6,0.87,0.089,0.195,0.614,2.47,False,663656,False,4,2,167,161
Enrique Hernández,LAD,C,8,3,CF,OF,POSTED,4.32,7.04,5.91,5.91,0.182,0.112,22.0,11,8,0.27,0.182,0.545,0.614,2.47,False,571771,True,4,2,176,162
Ben Rortvedt,LAD,C,9,3,C,IF,POSTED,3.94,6.42,1.75,1.75,0.0,0.0,5.0,8,9,0.33,0.0,0.5,0.614,2.47,False,666163,False,4,2,181,163
Ty France,SD,C,4,1,1B,IF,MODAL(last10),5.99,8.25,8.63,8.0,0.096,0.07,40.0,94,4,1.0,0.202,0.191,0.726,2.33,False,664034,True,1,2,113,164
Jackson Merrill,SD,C,5,1,CF,OF,MODAL(last10),5.87,8.09,8.31,7.6,0.084,0.061,42.0,131,5,1.0,0.168,0.267,0.726,2.33,False,701538,False,1,2,116,165
Manny Machado,SD,C,3,1,3B,IF,MODAL(last10),5.58,7.69,7.79,6.53,0.098,0.071,34.0,133,3,1.0,0.18,0.226,0.726,2.33,False,592518,True,1,2,130,166
Luis Rengifo,SD,C,6,1,2B,IF,MODAL(last10),4.99,6.87,6.63,6.6,0.037,0.027,23.0,81,6,0.87,0.037,0.21,0.726,2.33,False,650859,False,1,2,156,167
Fernando Tatis Jr.,SD,C,1,2,RF,OF,MODAL(last10),6.45,8.89,9.36,12.2,0.122,0.089,42.0,131,1,0.93,0.13,0.137,0.726,2.33,False,665487,False,3,2,91,168
Jake Cronenworth,SD,C,2,2,2B,IF,MODAL(last10),4.84,6.67,6.32,7.13,0.012,0.009,20.0,80,2,1.0,0.05,0.25,0.726,2.33,False,630105,False,3,2,162,169
Xander Bogaerts,SD,C,8,3,SS,IF,MODAL(last10),4.96,6.83,6.67,6.87,0.039,0.028,33.0,127,8,0.93,0.079,0.228,0.726,2.33,False,593428,False,4,2,157,170
Gavin Sheets,SD,C,7,3,DH,DH?,MODAL(last10),4.86,6.69,6.43,4.87,0.067,0.049,44.0,104,7,0.6,0.125,0.26,0.726,2.33,False,657757,False,4,2,161,171
Freddy Fermin,SD,C,8,3,C,IF,MODAL(last10),4.21,5.8,4.85,5.4,0.031,0.023,24.0,65,8,0.6,0.062,0.292,0.726,2.33,False,666023,False,4,2,178,172
Jac Caglianone,KC,C,3,1,RF,OF,POSTED,5.4,8.18,8.46,12.2,0.102,0.067,44.0,118,3,0.8,0.186,0.203,0.66,2.22,False,695506,True,1,2,139,173
Vinnie Pasquantino,KC,C,5,1,1B,IF,POSTED,5.04,7.64,7.78,10.73,0.067,0.044,29.0,89,5,0.67,0.101,0.157,0.66,2.22,False,686469,False,1,2,154,174
Nick Loftin,KC,C,6,1,3B,IF,POSTED,4.55,6.89,6.67,7.27,0.074,0.049,33.0,81,6,0.87,0.074,0.259,0.66,2.22,False,679845,False,1,2,171,175
Salvador Perez,KC,C,4,1,DH,DH?,POSTED,4.52,6.85,6.69,7.8,0.071,0.047,26.0,127,4,0.93,0.142,0.268,0.66,2.22,False,521692,False,1,2,172,176
Carter Jensen,KC,C,1,2,C,IF,POSTED,5.15,7.81,7.97,8.0,0.069,0.046,33.0,116,1,0.8,0.164,0.233,0.66,2.22,False,695600,True,2,2,147,177
Bobby Witt Jr.,KC,C,2,2,SS,IF,POSTED,6.08,9.21,9.84,12.07,0.119,0.079,40.0,118,2,1.0,0.136,0.11,0.66,2.22,False,677951,False,3,2,108,178
Tyler Tolbert,KC,C,8,3,2B,IF,POSTED,4.96,7.52,7.72,8.0,0.094,0.062,38.0,32,7,0.47,0.094,0.281,0.66,2.22,False,686475,False,4,2,158,179
John Rave,KC,C,7,3,LF,OF,POSTED,4.9,7.42,7.55,7.13,0.1,0.066,34.0,20,8,0.33,0.15,0.4,0.66,2.22,False,670231,False,4,2,160,180
Kyle Isbel,KC,C,9,3,CF,OF,POSTED,4.18,6.33,5.76,7.73,0.056,0.037,33.0,71,9,0.73,0.085,0.31,0.66,2.22,False,664728,False,4,2,179,181
